Feature,Importance
Study_Efficiency_Index,0.5349086992661971
Previous_Grades,0.28964824328805927
Attendance_Percentage,0.053718191908558664
Parent_Education_High School,0.032976760071732794
Study_Hours,0.01820207722085709
Family_Income_High,0.014312424976970708
Parent_Education_Master's,0.00896568525543328
Internet_Access_No,0.008928656412151329
School_Type_Public,0.008927151120034697
Family_Income_Low,0.00667891045725847
Internet_Access_Yes,0.005949850732744301
Risk_Level_Low,0.004846792736052051
Parent_Education_Associate's,0.004116185186331725
Parent_Education_Bachelor's,0.0016419268444333051
Age,0.0015448588836983164
School_Type_Private,0.0009024296981404431
Extra_Activities_No,0.0008312019005807567
Family_Income_Medium,0.0008053675218607386
Risk_Level_High,0.0006858339804148792
Extra_Activities_Yes,0.0006636192240029007
Attendance_Category_Good,0.0003261628546618139
Attendance_Category_Borderline,0.00023097978470460893
Risk_Level_Medium,0.00010368675066235383
Gender_Male,4.695089344681747e-05
Gender_Female,3.735303101158407e-05
Attendance_Category_Excellent,0.0
Attendance_Category_Critical,0.0
